monarch:;birth:;death:;start_of_reign:;end_of_reign:;reign_length
gorm;NA;958;NA;958;NA
harald_ 1;NA;987;958;987;29
svend_1;NA;1014;987;1014;27
harald_ 2;NA;1018;1014;1018;4
knud_ 1;995;1035;1018;1035;17
hardeknud;1020;1042;1035;1042;7
magnus;1024;1047;1042;1047;5
svend_2;NA;1076;1047;1074;27
harald_3;NA;1080;1074;1080;6
knud_ 2;NA;1086;1080;1086;6
oluf_1;NA;1095;1086;1095;9
erik_1;1056;1104;1095;1103;8
niels ;NA;1134;1104;1134;30
erik_2;NA;1137;1134;1137;3
erik_3;NA;1146;1137;1146;9
svend_3;NA;1157;1146;1157;11
valdemar_1;1131;1182;1157;1182;25
knud_4;1163;1202;1182;1202;20
valdemar_2;1170;1241;1202;1241;39
erik_4;1216;1250;1241;1250;9
abel;1218;1252;1250;1252;2
christoffer_1;1219;1259;1252;1259;7
erik_5;1249;1286;1259;1286;27
erik_6;1274;1319;1286;1319;33
christoffer_2;1276;1332;1319;1326;7
valdemar_3;1315;1364;1326;1329;3
chrisoffer_2 ;1276;1332;1329;1332;3
interregnum;NA;NA;1332;1340;8
valdemar_4;1320;1375;1340;1375;35
oluf_2;1370;1387;1375;1387;12
margrete_1 ;1353;1412;1387;1396;9
erik_7;1382;1459;1396;1439;43
christoffer_3;1416;1448;1440;1448;8
christian_1 ;1426;1481;1448;1481;33
hans;1455;1513;1481;1513;32
christian_2 ;1481;1523;1513;1523;10
frederik_1;1471;1533;1523;1533;10
interregnum;NA;NA;1533;1534;1
christian_3;1503;1559;1534;1559;25
frederik_2;1534;1588;1559;1588;29
christian_4;1577;1648;1588;1648;60
frederik_3;1609;1670;1648;1670;22
christian_5;1646;1699;1670;1699;29
frederik_4;1671;1730;1699;1730;31
christian_6;1699;1746;1730;1746;16
frederik_5;1723;1766;1746;1766;20
christian_7;1749;1808;1766;1808;42
frederik_6;1768;1839;1808;1839;31
chirstian_8;1786;1848;1839;1848;9
frederik_7;1808;1863;1848;1863;15
christian_9;1818;1906;1863;1906;43
frederik_8;1843;1912;1906;1912;6
christian_10 ;1870;1947;1912;1947;35
frederik_9 ;1899;1972;1947;1972;25
margrete_2 ;1940;NA;1972;NA;NA
